Município,Posição,Estimativa 2019,Latitude,Longitude,Região Administrativa,Porte,i-Amb
Macatuba,288,17163,-22.5002,-48.7102,Região Administrativa de Bauru,Pequeno,B+
Macaubal,417,8120,-20.8022,-49.9687,Região Administrativa de São José do Rio Preto,Pequeno,C+
Macedônia,561,3698,-20.1444,-50.1973,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Magda,584,3119,-20.6445,-50.2305,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Mairinque,148,47150,-23.5398,-47.185,Região Administrativa de Sorocaba,Médio,B
Mairiporã,81,100179,-23.3171,-46.5897,Região Metropolitana de São Paulo,Médio,C+
Manduri,382,9846,-23.0056,-49.3202,Região Administrativa de Sorocaba,Pequeno,B
Marabá Paulista,477,5853,-22.1068,-51.9617,Região Administrativa de Presidente Prudente,Pequeno,C+
Maracaí,322,14002,-22.6149,-50.6713,Região Administrativa de Marília,Pequeno,B
Marapoama,588,3031,-21.2587,-49.13,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Marinópolis,623,2112,-20.4389,-50.8254,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Mariápolis,548,4084,-21.7959,-51.1824,Região Administrativa de Presidente Prudente,Muito Pequeno,B
Martinópolis,221,26461,-22.1462,-51.1709,Região Administrativa de Presidente Prudente,Médio,A
Marília,35,238882,-22.2171,-49.9501,Região Administrativa de Marília,Grande,B+
Matão,94,83170,-21.6025,-48.364,Região Administrativa Central,Médio,B+
Mauá,10,472912,-23.6677,-46.4613,Região Metropolitana de São Paulo,Grande,B+
Mendonça,492,5490,-21.1757,-49.5791,Região Administrativa de São José do Rio Preto,Pequeno,B
Meridiano,558,3836,-20.3579,-50.1811,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Mesópolis,629,1908,-19.9684,-50.6326,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Miguelópolis,242,22226,-20.1796,-48.03100000000001,Região Administrativa de Franca,Médio,C
Mineiros do Tietê,338,12908,-22.412,-48.451,Região Administrativa de Bauru,Pequeno,B
Mira Estrela,587,3086,-19.9789,-50.139,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Miracatu,262,19779,-24.2766,-47.4625,Região Administrativa de Registro,Médio,B
Mirandópolis,206,29564,-21.1313,-51.1035,Região Administrativa de Araçatuba,Médio,B+
Mirante do Paranapanema,274,18259,-22.2904,-51.9084,Região Administrativa de Presidente Prudente,Pequeno,B
Mirassol,119,59824,-20.8169,-49.5206,Região Administrativa de São José do Rio Preto,Médio,C+
Mirassolândia,508,4871,-20.6179,-49.4617,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Mococa,108,68885,-21.4647,-47.0024,Região Administrativa de Campinas,Médio,C+
Mogi Guaçu,53,151888,-22.3675,-46.9428,Região Metropolitana de São Paulo,Grande,B+
Mogi Mirim,85,93189,-22.4332,-46.9532,Região Administrativa de Campinas,Médio,B+
Mogi das Cruzes,12,445842,-23.5208,-46.1854,Região Administrativa de Campinas,Médio,C+
Mombuca,570,3493,-22.9285,-47.559,Região Administrativa de Campinas,Muito Pequeno,C+
Mongaguá,125,56702,-24.0809,-46.6265,Região Administrativa de Santos,Médio,B
Monte Alegre do Sul,418,8038,-22.6817,-46.681,Região Administrativa de Campinas,Pequeno,C
Monte Alto,139,50498,-21.2655,-48.4971,Região Administrativa de Ribeirão Preto,Médio,B+
Monte Aprazível,228,25087,-20.768,-49.7184,Região Administrativa de São José do Rio Preto,Médio,C
Monte Azul Paulista,264,19008,-20.9065,-48.6387,Região Administrativa de Barretos,Pequeno,C+
Monte Castelo,540,4166,-21.2981,-51.5679,Região Administrativa de Presidente Prudente,Muito Pequeno,B+
Monte Mor,120,59772,-22.945,-47.3122,Região Administrativa de Campinas,Médio,C+
Monteiro Lobato,521,4653,-22.9544,-45.8407,Região Administrativa de São José dos Campos,Muito Pequeno,C
Monções,617,2259,-20.8509,-50.0975,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Morro Agudo,190,32968,-20.7288,-48.0581,Região Administrativa de Franca,Médio,B
Morungaba,329,13622,-22.8811,-46.7896,Região Administrativa de Campinas,Pequeno,B+
Motuca,518,4758,-21.5103,-48.1538,Região Administrativa Central,Muito Pequeno,C
Murutinga do Sul,528,4486,-20.9908,-51.2774,Região Administrativa de Araçatuba,Muito Pequeno,C+
Nantes,582,3141,-22.6156,-51.24,Região Administrativa de Presidente Prudente,Muito Pequeno,B
Narandiba,509,4857,-22.4057,-51.5274,Região Administrativa de Presidente Prudente,Muito Pequeno,B+
Natividade da Serra,448,6661,-23.3707,-45.4468,Região Administrativa de São José dos Campos,Pequeno,B
Nazaré Paulista,271,18524,-23.1747,-46.3983,Região Administrativa de Campinas,Pequeno,C
Neves Paulista,398,8930,-20.843000000000004,-49.6358,Região Administrativa de São José do Rio Preto,Pequeno,C
Nhandeara,354,11478,-20.6945,-50.0436,Região Administrativa de São José do Rio Preto,Pequeno,B+
Nipoã,501,5213,-20.9114,-49.7833,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Nova Aliança,441,6973,-21.0156,-49.4986,Região Administrativa de São José do Rio Preto,Pequeno,B+
Nova Campina,383,9755,-24.1224,-48.9022,Região Administrativa de Itapeva,Pequeno,B
Nova Canaã Paulista,630,1881,-20.3836,-50.9483,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Nova Castilho,643,1267,-20.7615,-50.3477,Região Administrativa de Araçatuba,Muito Pequeno,C
Nova Europa,360,11186,-21.7765,-48.5705,Região Administrativa Central,Pequeno,C+
Nova Granada,247,21500,-20.5321,-49.3123,Região Administrativa de São José do Rio Preto,Médio,C
Nova Guataporanga,615,2316,-21.332,-51.6447,Região Administrativa de Presidente Prudente,Muito Pequeno,B
Nova Independência,552,3969,-21.1026,-51.4905,Região Administrativa de Araçatuba,Muito Pequeno,C+
Nova Luzitânia,544,4101,-20.856,-50.2617,Região Administrativa de Araçatuba,Muito Pequeno,B
Nova Odessa,117,60174,-22.7832,-47.2941,Região Administrativa de Campinas,Médio,B
Novais,479,5830,-20.9893,-48.9141,Região Administrativa de São José do Rio Preto,Pequeno,B
Novo Horizonte,164,41052,-21.4651,-49.2234,Região Administrativa de São José do Rio Preto,Médio,A
Nuporanga,434,7432,-20.7296,-47.7429,Região Administrativa de Franca,Pequeno,C+
Ocauçu,532,4289,-22.438,-49.922,Região Administrativa de Marília,Muito Pequeno,C
Olímpia,131,54772,-20.7366,-48.9106,Região Administrativa de Barretos,Médio,B+
Onda Verde,530,4381,-20.6042,-49.2929,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Oriente,452,6515,-22.1549,-50.0971,Região Administrativa de Marília,Pequeno,B+
Orindiúva,440,7066,-20.1861,-49.3464,Região Administrativa de São José do Rio Preto,Pequeno,B
Orlândia,159,44028,-20.7169,-47.8852,Região Administrativa de Franca,Médio,B+
Osasco,8,698418,-23.5324,-46.7916,Região Metropolitana de São Paulo,Grande,B
Oscar Bressane,603,2603,-22.3149,-50.2811,Região Administrativa de Marília,Muito Pequeno,B
Osvaldo Cruz,193,32879,-21.7968,-50.8793,Região Administrativa de Presidente Prudente,Médio,B+
Ourinhos,75,113542,-22.9797,-49.8697,Região Administrativa de Marília,Médio,B
Ouro Verde,407,8562,-21.4872,-51.7024,Região Administrativa de Presidente Prudente,Pequeno,C
Ouroeste,375,10361,-20.0061,-50.3768,Região Administrativa de São José do Rio Preto,Pequeno,B
Pacaembu,320,14197,-21.5627,-51.2654,Região Administrativa de Presidente Prudente,Pequeno,C+
Palestina,337,12957,-20.39,-49.4309,Região Administrativa de São José do Rio Preto,Pequeno,C
Palmares Paulista,332,13275,-21.0854,-48.8037,Região Administrativa de São José do Rio Preto,Pequeno,C+
Palmeira d'Oeste,391,9283,-20.4148,-50.7632,Região Administrativa de São José do Rio Preto,Pequeno,C+
Palmital,243,22221,-22.7858,-50.218,Região Administrativa de Marília,Médio,A
Panorama,302,15777,-21.354,-51.8562,Região Administrativa de Presidente Prudente,Pequeno,B
Paraguaçu Paulista,152,45703,-22.4114,-50.5732,Região Administrativa de Marília,Médio,B+
Paraibuna,275,18222,-23.3872,-45.6639,Região Administrativa de São José dos Campos,Pequeno,C+
Paranapanema,259,20197,-23.3862,-48.7214,Região Administrativa de Itapeva,Pequeno,B
Paranapuã,549,4078,-20.1048,-50.5886,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Parapuã,365,10964,-21.7792,-50.7949,Região Administrativa de Marília,Pequeno,C+
Paraíso,454,6454,-21.0159,-48.7761,Região Administrativa de São José do Rio Preto,Pequeno,B
Pardinho,455,6435,-23.0841,-48.3679,Região Administrativa de Sorocaba,Pequeno,B
Pariquera-Açu,263,19648,-24.7147,-47.8742,Região Administrativa de Registro,Pequeno,B
Parisi,619,2161,-20.3034,-50.0163,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Patrocínio Paulista,317,14670,-20.6384,-47.2801,Região Administrativa de Franca,Pequeno,B
Pauliceia,436,7366,-21.3153,-51.8321,Região Administrativa de Presidente Prudente,Pequeno,C
Paulistânia,633,1833,-22.5768,-49.4008,Região Administrativa de Bauru,Muito Pequeno,A
Paulo de Faria,397,8945,-20.0296,-49.4,Região Administrativa de São José do Rio Preto,Pequeno,B
Paulínia,76,109424,-22.7542,-47.1488,Região Administrativa de Campinas,Médio,A
Pederneiras,151,46687,-22.3511,-48.7781,Região Administrativa de Bauru,Médio,B+
Pedra Bela,466,6093,-22.7902,-46.4455,Região Administrativa de Campinas,Pequeno,C
Pedranópolis,609,2494,-20.2474,-50.1129,Região Administrativa de São José do Rio Preto,Muito Pequeno,A
Pedregulho,293,16744,-20.2535,-47.4775,Região Administrativa de Franca,Pequeno,B
Pedreira,145,47919,-22.7413,-46.8948,Região Administrativa de Campinas,Médio,B
Pedrinhas Paulista,586,3093,-22.8174,-50.7933,Região Administrativa de Marília,Muito Pequeno,B+
Pedro de Toledo,357,11331,-24.2764,-47.2354,Região Administrativa de Registro,Pequeno,C
Penápolis,112,63407,-21.4148,-50.0769,Região Administrativa de Araçatuba,Médio,B
Pereira Barreto,224,25669,-20.6368,-51.1123,Região Administrativa de Araçatuba,Médio,B
Pereiras,404,8668,-23.0804,-47.972,Região Administrativa de Sorocaba,Pequeno,B+
Peruíbe,110,68284,-24.312,-47.0012,Região Administrativa de Santos,Médio,B
Piacatu,473,5980,-21.5921,-50.6003,Região Administrativa de Araçatuba,Pequeno,A
Piedade,129,55348,-23.7139,-47.4256,Região Administrativa de Sorocaba,Médio,C+
Pilar do Sul,208,29185,-23.8077,-47.7222,Região Administrativa de Sorocaba,Médio,B
Pindamonhangaba,49,168328,-22.9246,-45.4613,Região Administrativa de São José dos Campos,Médio,C+
Pindorama,292,17049,-21.1853,-48.9086,Região Administrativa de São José do Rio Preto,Pequeno,C+
Pinhalzinho,308,15207,-22.7811,-46.5897,Região Administrativa de Campinas,Pequeno,C+
Piquerobi,562,3692,-21.8747,-51.7282,Região Administrativa de Presidente Prudente,Muito Pequeno,C+
Piquete,326,13657,-22.6069,-45.1869,Região Administrativa de São José dos Campos,Pequeno,B
Piracaia,215,27303,-23.0525,-46.3594,Região Administrativa de Campinas,Médio,C
Piracicaba,16,404142,-22.7338,-47.6476,Região Administrativa de Campinas,Grande,A
Piraju,203,29806,-23.1981,-49.3803,Região Administrativa de Itapeva,Médio,C+
Pirajuí,225,25492,-21.999,-49.4608,Região Administrativa de Bauru,Médio,C
Pirangi,355,11417,-21.0886,-48.6607,Região Administrativa de Barretos,Pequeno,A
Pirapora do Bom Jesus,267,18895,-23.3965,-46.9991,Região Metropolitana de São Paulo,Pequeno,C
Pirapozinho,213,27527,-22.2711,-51.4976,Região Administrativa de Presidente Prudente,Médio,C+
Pirassununga,102,76409,-21.996,-47.4257,Região Administrativa de Campinas,Médio,B+
Piratininga,328,13636,-22.4142,-49.1339,Região Administrativa de Bauru,Pequeno,B+
Pitangueiras,171,39719,-21.0132,-48.221,Região Administrativa de Ribeirão Preto,Médio,B
Planalto,498,5237,-21.0342,-49.933,Região Administrativa de São José do Rio Preto,Pequeno,C
Platina,568,3550,-22.6371,-50.2104,Região Administrativa de Marília,Muito Pequeno,B
Poloni,468,6059,-20.7829,-49.8258,Região Administrativa de São José do Rio Preto,Pequeno,C
Pompeia,244,22014,-22.107,-50.176,Região Administrativa de Marília,Médio,B
Pongaí,573,3416,-21.7396,-49.3604,Região Administrativa de Bauru,Muito Pequeno,A
Pontal,140,49961,-21.0216,-48.0423,Região Administrativa de Ribeirão Preto,Médio,C+
Pontalinda,522,4628,-20.4396,-50.5258,Região Administrativa de São José do Rio Preto,Muito Pequeno,B+
Pontes Gestal,604,2577,-20.1727,-49.7064,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Populina,538,4169,-19.9453,-50.538,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Porangaba,380,9925,-23.1761,-48.1195,Região Administrativa de Sorocaba,Pequeno,B
Porto Feliz,133,53098,-23.2093,-47.5251,Região Administrativa de Sorocaba,Médio,C+
Porto Ferreira,127,56150,-21.8498,-47.487,Região Administrativa Central,Médio,C
Potim,232,24643,-22.8343,-45.2552,Região Administrativa de São José dos Campos,Médio,C
Potirendaba,286,17361,-21.0428,-49.3815,Região Administrativa de São José do Rio Preto,Pequeno,C+
Poá,74,117452,-23.5333,-46.3473,Região Metropolitana de São Paulo,Médio,B
Pracinha,547,4093,-21.8496,-51.0868,Região Administrativa de Presidente Prudente,Muito Pequeno,C
Pradópolis,248,21496,-21.3626,-48.0679,Região Administrativa de Ribeirão Preto,Médio,B
Praia Grande,22,325073,-24.0084,-46.4121,Região Administrativa de Santos,Grande,B+
Pratânia,497,5261,-22.8112,-48.6636,Região Administrativa de Sorocaba,Pequeno,C
Presidente Alves,546,4094,-22.0999,-49.4381,Região Administrativa de Bauru,Muito Pequeno,C+
Presidente Bernardes,335,13106,-22.0082,-51.5565,Região Administrativa de Presidente Prudente,Pequeno,C+
Presidente Epitácio,158,44200,-21.7651,-52.1111,Região Administrativa de Presidente Prudente,Médio,B
Presidente Prudente,40,228743,-22.1207,-51.3925,Região Administrativa de Presidente Prudente,Grande,A
Presidente Venceslau,172,39516,-21.8732,-51.8447,Região Administrativa de Presidente Prudente,Médio,C+
Promissão,169,40432,-21.5356,-49.8599,Região Administrativa de Bauru,Médio,B
Quadra,560,3804,-23.2993,-48.0547,Região Administrativa de Sorocaba,Muito Pequeno,B+
Quatá,321,14109,-22.2456,-50.6966,Região Administrativa de Marília,Pequeno,B
Queiroz,574,3406,-21.7969,-50.2415,Região Administrativa de Marília,Muito Pequeno,C+
Queluz,330,13420,-22.5312,-44.7781,Região Administrativa de São José dos Campos,Pequeno,C
Quintana,449,6638,-22.0692,-50.307,Região Administrativa de Marília,Pequeno,B+
Rafard,395,9076,-23.0105,-47.5318,Região Administrativa de Campinas,Pequeno,C
Rancharia,205,29707,-22.2269,-50.893,Região Administrativa de Presidente Prudente,Médio,B+
Redenção da Serra,557,3851,-23.2638,-45.5422,Região Administrativa de São José dos Campos,Muito Pequeno,B
Regente Feijó,258,20261,-22.2181,-51.3055,Região Administrativa de Presidente Prudente,Pequeno,B
Reginópolis,385,9621,-21.8914,-49.2268,Região Administrativa de Bauru,Pequeno,C
Registro,126,56322,-24.4979,-47.8449,Região Administrativa de Registro,Médio,B+
Restinga,431,7593,-20.6056,-47.4833,Região Administrativa de Franca,Pequeno,B+
Ribeira,576,3340,-24.6517,-49.0044,Região Administrativa de Itapeva,Muito Pequeno,C
Ribeirão Bonito,334,13219,-22.0685,-48.182,Região Administrativa Central,Pequeno,C
Ribeirão Branco,296,16444,-24.2206,-48.7635,Região Administrativa de Itapeva,Pequeno,C
Ribeirão Corrente,519,4718,-20.4579,-47.5904,Região Administrativa de Franca,Muito Pequeno,B+
Ribeirão Grande,427,7673,-24.1011,-48.3679,Região Administrativa de Marília,Muito Pequeno,B
Ribeirão Pires,64,123393,-23.7067,-46.4058,Região Administrativa de Presidente Prudente,Muito Pequeno,C+
Ribeirão Preto,7,703293,-21.1699,-47.8099,Região Administrativa de Itapeva,Pequeno,B+
Ribeirão do Sul,524,4541,-22.789,-49.933,Região Metropolitana de São Paulo,Médio,C+
Ribeirão dos Índios,618,2225,-21.8382,-51.6103,Região Administrativa de Ribeirão Preto,Grande,B
Rifaina,566,3629,-20.0803,-47.4291,Região Administrativa de Franca,Muito Pequeno,A
Rincão,370,10799,-21.5894,-48.0728,Região Administrativa Central,Pequeno,C+
Rinópolis,379,9981,-21.7284,-50.7239,Região Administrativa de Marília,Pequeno,B+
Rio Claro,41,206424,-22.3984,-47.5546,Região Administrativa de Campinas,Grande,B
Rio Grande da Serra,137,50846,-23.7437,-46.3971,Região Administrativa de Campinas,Médio,C
Rio das Pedras,182,35228,-22.8417,-47.6047,Região Metropolitana de São Paulo,Médio,C
Riolândia,341,12518,-19.9868,-49.6836,Região Administrativa de São José do Rio Preto,Pequeno,C
Riversul,491,5524,-23.829,-49.429,Região Administrativa de Itapeva,Pequeno,B+
Rosana,294,16643,-22.5782,-53.0603,Região Administrativa de Presidente Prudente,Pequeno,B
Roseira,371,10712,-22.8938,-45.307,Região Administrativa de São José dos Campos,Pequeno,C
Rubineia,581,3148,-20.1759,-51.007,Região Administrativa de São José do Rio Preto,Muito Pequeno,B
Rubiácea,583,3128,-21.3006,-50.7296,Região Administrativa de Araçatuba,Muito Pequeno,C+
Sabino,489,5590,-21.4593,-49.5755,Região Administrativa de Bauru,Pequeno,B
Sagres,612,2432,-21.8823,-50.9594,Região Administrativa de Presidente Prudente,Muito Pequeno,C+
Sales,457,6331,-21.3427,-49.4897,Região Administrativa de São José do Rio Preto,Pequeno,C+
Sales Oliveira,351,11890,-20.7696,-47.8369,Região Administrativa de Franca,Pequeno,B
Salesópolis,291,17139,-23.5288,-45.8465,Região Metropolitana de São Paulo,Pequeno,B+
Salmourão,495,5300,-21.6267,-50.8614,Região Administrativa de Presidente Prudente,Pequeno,C+
Saltinho,413,8286,-22.8442,-47.6754,Região Administrativa de Campinas,Pequeno,B+
Salto,73,118663,-23.1996,-47.2931,Região Administrativa de Sorocaba,Médio,B+
Salto Grande,390,9331,-22.8894,-49.9831,Região Administrativa de Sorocaba,Médio,B
Salto de Pirapora,153,45422,-23.6474,-47.5743,Região Administrativa de Marília,Pequeno,B
Sandovalina,531,4302,-22.4551,-51.7648,Região Administrativa de Presidente Prudente,Muito Pequeno,B+
Santa Adélia,305,15480,-21.2427,-48.8063,Região Administrativa de São José do Rio Preto,Pequeno,B+
Santa Albertina,472,6008,-20.0311,-50.7297,Região Administrativa de São José do Rio Preto,Pequeno,C
Santa Branca,316,14788,-23.3933,-45.8875,Região Administrativa de São José dos Campos,Pequeno,C
Santa Bárbara d'Oeste,44,193475,-22.7553,-47.4143,Região Administrativa de Campinas,Médio,B+
Santa Clara d'Oeste,622,2115,-20.09,-50.9491,Região Administrativa de São José do Rio Preto,Muito Pequeno,A
Santa Cruz da Conceição,527,4503,-22.1405,-47.4512,Região Administrativa de Campinas,Muito Pequeno,C+
Santa Cruz da Esperança,620,2139,-21.2951,-47.4304,Região Administrativa de Ribeirão Preto,Muito Pequeno,A
Santa Cruz das Palmeiras,186,34361,-21.8235,-47.24800000000001,Região Administrativa de Campinas,Médio,B
Santa Cruz do Rio Pardo,146,47673,-22.8988,-49.6354,Região Administrativa de Marília,Médio,A
Santa Ernestina,488,5599,-21.4618,-48.3953,Região Administrativa Central,Pequeno,B
Santa Fé do Sul,196,32322,-20.2083,-50.932,Região Administrativa de São José do Rio Preto,Médio,B+
Santa Gertrudes,217,26898,-22.4572,-47.5272,Região Administrativa de Campinas,Médio,A
Santa Isabel,122,57386,-23.3172,-46.2237,Região Metropolitana de São Paulo,Médio,B
Santa Lúcia,402,8817,-21.685,-48.0885,Região Administrativa Central,Pequeno,B
Santa Maria da Serra,464,6173,-22.5661,-48.1593,Região Administrativa de Campinas,Pequeno,C
Santa Mercedes,590,2939,-21.3495,-51.7564,Região Administrativa de Presidente Prudente,Muito Pequeno,C
Santa Rita d'Oeste,607,2498,-20.1414,-50.8358,Região Administrativa de São José do Rio Preto,Muito Pequeno,C
Santa Rita do Passa Quatro,212,27557,-21.7083,-47.478,Região Administrativa Central,Médio,B
Santa Rosa de Viterbo,219,26540,-21.4776,-47.3622,Região Administrativa de Ribeirão Preto,Médio,A
Santa Salete,640,1545,-20.2429,-50.6887,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
